delivery_id,order_id,delivery_status,delivery_time,rider_id
D61,O69,Delivered,15:27:00,RD200
D62,O71,Delivered,13:11:00,RD174
D63,O72,Delivered,14:51:00,RD147
D64,O73,Delivered,17:07:00,RD134
D65,O74,Delivered,19:33:00,RD100
D66,O75,Delivered,10:48:00,RD41
D67,O76,Delivered,11:16:00,RD44
D68,O77,Delivered,13:09:00,RD146
D69,O78,Delivered,13:16:00,RD92
D70,O79,Delivered,18:00:00,RD48
D71,O80,Delivered,12:48:00,RD56
D72,O81,Delivered,17:34:00,RD20
D73,O82,Delivered,14:59:00,RD172
D74,O83,Delivered,11:03:00,RD244
D75,O84,Delivered,19:13:00,RD10
D76,O85,Delivered,13:46:00,RD219
D77,O86,Delivered,22:13:00,RD176
D78,O87,Delivered,14:28:00,RD240
D79,O88,Delivered,16:37:00,RD170
D80,O89,Delivered,21:29:00,RD182
D81,O90,Delivered,21:48:00,RD121
D82,O91,Delivered,18:43:00,RD150
D83,O92,Delivered,13:25:00,RD169
D84,O93,Delivered,18:49:00,RD32
D85,O94,Delivered,20:07:00,RD86
D86,O95,Delivered,15:48:00,RD92
D87,O96,Delivered,16:16:00,RD137
D88,O97,Delivered,14:28:00,RD16
D89,O98,Delivered,22:25:00,RD167
D90,O99,Delivered,20:29:00,RD244
D91,O100,Delivered,20:08:00,RD239
D92,O101,Delivered,17:21:00,RD15
D93,O102,Delivered,12:14:00,RD13
D94,O103,Delivered,20:36:00,RD175
D95,O104,Delivered,16:23:00,RD214
D96,O106,Delivered,12:12:00,RD216
D97,O107,Delivered,10:28:00,RD2
D98,O108,Delivered,15:47:00,RD121
D99,O109,Delivered,21:40:00,RD155
D100,O110,Delivered,17:15:00,RD234
D101,O111,Delivered,18:23:00,RD220
D102,O112,Delivered,18:44:00,RD10
D103,O114,Delivered,22:01:00,RD151
D104,O115,Delivered,17:55:00,RD166
D105,O116,Delivered,15:05:00,RD134
D106,O117,Delivered,11:25:00,RD191
D107,O118,Delivered,15:38:00,RD39
D108,O119,Delivered,14:12:00,RD133
D109,O120,Delivered,21:22:00,RD176
D110,O121,Delivered,20:36:00,RD110
D111,O122,Delivered,16:06:00,RD153
D112,O123,Delivered,16:47:00,RD205
D113,O124,Delivered,16:18:00,RD148
D114,O125,Delivered,18:37:00,RD162
D115,O126,Delivered,17:48:00,RD223
D116,O127,Delivered,22:08:00,RD203
D117,O128,Delivered,16:26:00,RD217
D118,O129,Delivered,21:21:00,RD91
D119,O130,Delivered,15:46:00,RD197
D120,O131,Delivered,19:08:00,RD147
D121,O132,Delivered,18:36:00,RD128
D122,O133,Delivered,10:26:00,RD23
D123,O134,Delivered,18:28:00,RD203
D124,O136,Delivered,13:26:00,RD219
D125,O137,Delivered,19:51:00,RD162
D126,O138,Delivered,18:07:00,RD6
D127,O139,Delivered,16:14:00,RD52
D128,O142,Delivered,13:37:00,RD123
D129,O143,Delivered,18:50:00,RD189
D130,O144,Delivered,13:39:00,RD184
D131,O145,Delivered,12:51:00,RD146
D132,O146,Delivered,10:52:00,RD186
D133,O147,Delivered,10:34:00,RD210
D134,O148,Delivered,18:42:00,RD133
D135,O149,Delivered,19:24:00,RD150
D136,O150,Delivered,19:48:00,RD53
D137,O152,Delivered,18:05:00,RD10
D138,O153,Delivered,12:50:00,RD241
D139,O154,Delivered,19:11:00,RD161
D140,O156,Delivered,12:20:00,RD93
D141,O157,Delivered,14:00:00,RD160
D142,O158,Delivered,12:10:00,RD44
D143,O159,Delivered,13:13:00,RD103
D144,O160,Delivered,11:47:00,RD12
D145,O161,Delivered,13:04:00,RD239
D146,O162,Delivered,20:46:00,RD36
D147,O163,Delivered,17:21:00,RD43
D148,O164,Delivered,12:11:00,RD147
D149,O165,Delivered,14:26:00,RD36
D150,O166,Delivered,15:19:00,RD183
D151,O167,Delivered,20:03:00,RD250
D152,O168,Delivered,21:38:00,RD9
D153,O169,Delivered,15:21:00,RD96
D154,O170,Delivered,13:09:00,RD94
D155,O171,Delivered,10:54:00,RD189
D156,O172,Delivered,15:34:00,RD21
D157,O173,Delivered,20:02:00,RD197
D158,O174,Delivered,19:44:00,RD162
D159,O175,Delivered,18:26:00,RD200
D160,O176,Delivered,18:36:00,RD74
D161,O177,Delivered,21:05:00,RD66
D162,O178,Delivered,13:49:00,RD93
D163,O180,Delivered,11:38:00,RD153
D164,O181,Delivered,17:20:00,RD108
D165,O182,Delivered,15:31:00,RD194
D166,O184,Delivered,17:25:00,RD140
D167,O185,Delivered,15:36:00,RD25
D168,O186,Delivered,11:35:00,RD153
D169,O187,Delivered,17:36:00,RD173
D170,O188,Delivered,12:30:00,RD44
D171,O189,Delivered,14:22:00,RD91
D172,O190,Delivered,21:33:00,RD174
D173,O191,Delivered,13:48:00,RD239
D174,O192,Delivered,21:01:00,RD116
D175,O194,Delivered,16:44:00,RD229
D176,O195,Delivered,18:30:00,RD177
D177,O196,Delivered,15:59:00,RD170
D178,O197,Delivered,10:52:00,RD225
D179,O198,Delivered,12:07:00,RD134
D180,O199,Delivered,19:13:00,RD117
D181,O200,Delivered,16:27:00,RD29
D182,O201,Delivered,17:44:00,RD178
D183,O202,Delivered,12:37:00,RD173
D184,O203,Delivered,19:09:00,RD147
D185,O204,Delivered,14:53:00,RD242
D186,O205,Delivered,11:17:00,RD29
D187,O206,Delivered,20:56:00,RD53
D188,O207,Delivered,20:36:00,RD221
D189,O208,Delivered,13:19:00,RD34
D190,O209,Delivered,16:57:00,RD193
D191,O210,Delivered,17:08:00,RD195
D192,O211,Delivered,22:32:00,RD113
D193,O212,Delivered,18:54:00,RD20
D194,O213,Delivered,13:52:00,RD189
D195,O214,Delivered,12:50:00,RD177
D196,O215,Delivered,19:39:00,RD37
D197,O216,Delivered,19:55:00,RD91
D198,O217,Delivered,22:26:00,RD228
D199,O218,Delivered,16:14:00,RD203
D200,O219,Delivered,22:34:00,RD178
D201,O220,Delivered,18:41:00,RD204
D202,O221,Delivered,17:57:00,RD25
D203,O222,Delivered,16:58:00,RD36
D204,O223,Delivered,14:30:00,RD162
D205,O224,Delivered,22:27:00,RD17
D206,O225,Delivered,13:03:00,RD132
D207,O226,Delivered,12:37:00,RD33
D208,O228,Delivered,12:05:00,RD189
D209,O229,Delivered,22:26:00,RD237
D210,O230,Delivered,15:46:00,RD100
D211,O231,Delivered,18:08:00,RD102
D212,O232,Delivered,13:21:00,RD39
D213,O233,Delivered,14:54:00,RD171
D214,O234,Delivered,21:31:00,RD50
D215,O235,Delivered,18:19:00,RD226
D216,O236,Delivered,14:11:00,RD210
D217,O237,Delivered,15:39:00,RD145
D218,O238,Delivered,12:00:00,RD150
D219,O239,Delivered,19:09:00,RD228
D220,O240,Delivered,16:58:00,RD204
D221,O244,Delivered,21:55:00,RD66
D222,O245,Delivered,17:51:00,RD153
D223,O247,Delivered,18:51:00,RD184
D224,O250,Delivered,16:48:00,RD174
D225,O251,Delivered,18:50:00,RD157
D226,O252,Delivered,20:18:00,RD56
D227,O253,Delivered,12:03:00,RD133
D228,O254,Delivered,16:43:00,RD171
D229,O255,Delivered,16:19:00,RD180
D230,O256,Delivered,10:50:00,RD26
D231,O258,Delivered,17:34:00,RD68
D232,O259,Delivered,15:47:00,RD12
D233,O260,Delivered,21:04:00,RD146
D234,O261,Delivered,19:36:00,RD37
D235,O263,Delivered,19:10:00,RD80
D236,O264,Delivered,21:54:00,RD174
D237,O265,Delivered,17:45:00,RD249
D238,O266,Delivered,21:55:00,RD141
D239,O267,Delivered,21:51:00,RD39
D240,O268,Delivered,13:08:00,RD193
D241,O269,Delivered,12:01:00,RD33
D242,O270,Delivered,19:23:00,RD28
D243,O271,Delivered,11:50:00,RD216
D244,O272,Delivered,18:56:00,RD23
D245,O273,Delivered,16:15:00,RD96
D246,O275,Delivered,13:14:00,RD234
D247,O276,Delivered,14:42:00,RD38
D248,O277,Delivered,19:29:00,RD78
D249,O278,Delivered,18:48:00,RD141
D250,O279,Delivered,12:06:00,RD165
D251,O280,Delivered,21:14:00,RD187
D252,O281,Delivered,10:40:00,RD50
D253,O282,Delivered,14:14:00,RD123
D254,O283,Delivered,18:29:00,RD189
D255,O284,Delivered,17:49:00,RD195
D256,O285,Delivered,10:57:00,RD184
D257,O286,Delivered,16:06:00,RD93
D258,O287,Delivered,15:50:00,RD107
D259,O288,Delivered,11:50:00,RD240
D260,O289,Delivered,13:45:00,RD176
D261,O290,Delivered,20:13:00,RD5
D262,O291,Delivered,21:57:00,RD84
D263,O292,Delivered,19:06:00,RD224
D264,O293,Delivered,17:06:00,RD152
D265,O294,Delivered,10:28:00,RD241
D266,O295,Delivered,21:10:00,RD213
D267,O296,Delivered,12:01:00,RD215
D268,O297,Delivered,16:45:00,RD171
D269,O298,Delivered,13:44:00,RD131
D270,O299,Delivered,18:10:00,RD72
D271,O300,Delivered,11:35:00,RD36
D272,O301,Delivered,16:12:00,RD231
D273,O302,Delivered,18:54:00,RD194
D274,O303,Delivered,22:08:00,RD194
D275,O304,Delivered,18:38:00,RD2
D276,O305,Delivered,20:25:00,RD106
D277,O307,Delivered,10:59:00,RD223
D278,O308,Delivered,19:43:00,RD230
D279,O309,Delivered,21:25:00,RD12
D280,O310,Delivered,19:51:00,RD114
D281,O311,Delivered,16:56:00,RD80
D282,O312,Delivered,11:45:00,RD91
D283,O313,Delivered,17:27:00,RD177
D284,O315,Delivered,19:09:00,RD192
D285,O316,Delivered,13:01:00,RD187
D286,O317,Delivered,22:27:00,RD163
D287,O318,Delivered,14:02:00,RD235
D288,O319,Delivered,15:17:00,RD103
D289,O320,Delivered,17:58:00,RD42
D290,O321,Delivered,21:37:00,RD151
D291,O322,Delivered,17:39:00,RD114
D292,O323,Delivered,15:32:00,RD156
D293,O324,Delivered,22:09:00,RD2
D294,O326,Delivered,20:05:00,RD63
D295,O327,Delivered,14:15:00,RD194
D296,O328,Delivered,21:55:00,RD68
D297,O329,Delivered,19:28:00,RD204
D298,O330,Delivered,17:54:00,RD202
D299,O331,Delivered,20:32:00,RD237
D300,O332,Delivered,22:30:00,RD69
D301,O333,Delivered,13:25:00,RD243
D302,O334,Delivered,22:41:00,RD86
D303,O335,Delivered,19:52:00,RD165
D304,O336,Delivered,19:21:00,RD173
D305,O337,Delivered,14:40:00,RD117
D306,O338,Delivered,20:51:00,RD103
D307,O339,Delivered,15:03:00,RD227
D308,O340,Delivered,17:15:00,RD150
D309,O341,Delivered,20:43:00,RD226
D310,O342,Delivered,13:22:00,RD213
D311,O343,Delivered,15:02:00,RD153
D312,O344,Delivered,15:14:00,RD97
D313,O345,Delivered,12:07:00,RD19
D314,O346,Delivered,22:27:00,RD30
D315,O347,Delivered,14:48:00,RD191
D316,O348,Delivered,18:15:00,RD225
D317,O349,Delivered,18:18:00,RD96
D318,O350,Delivered,14:12:00,RD69
D319,O351,Delivered,19:11:00,RD67
D320,O352,Delivered,19:41:00,RD19
D321,O353,Delivered,13:10:00,RD134
D322,O354,Delivered,22:14:00,RD62
D323,O355,Delivered,11:19:00,RD162
D324,O356,Delivered,11:04:00,RD126
D325,O357,Delivered,17:00:00,RD232
D326,O358,Delivered,11:17:00,RD106
D327,O360,Delivered,13:39:00,RD198
D328,O361,Delivered,20:56:00,RD209
D329,O362,Delivered,17:02:00,RD41
D330,O363,Delivered,13:22:00,RD220
D331,O364,Delivered,17:18:00,RD68
D332,O366,Delivered,18:55:00,RD59
D333,O369,Delivered,18:08:00,RD250
D334,O370,Delivered,17:58:00,RD172
D335,O371,Delivered,14:49:00,RD236
D336,O372,Delivered,21:27:00,RD109
D337,O373,Delivered,20:57:00,RD192
D338,O374,Delivered,19:22:00,RD182
D339,O375,Delivered,17:44:00,RD124
D340,O376,Delivered,18:43:00,RD232
D341,O377,Delivered,13:17:00,RD4
D342,O378,Delivered,15:16:00,RD69
D343,O379,Delivered,17:13:00,RD237
D344,O380,Delivered,13:53:00,RD73
D345,O381,Delivered,22:38:00,RD44
D346,O382,Delivered,20:04:00,RD67
D347,O383,Delivered,20:19:00,RD246
D348,O384,Delivered,15:59:00,RD187
D349,O385,Delivered,12:14:00,RD17
D350,O386,Delivered,14:08:00,RD81
D351,O387,Delivered,17:16:00,RD80
D352,O388,Delivered,16:05:00,RD223
D353,O389,Delivered,21:58:00,RD147
D354,O390,Delivered,11:02:00,RD223
D355,O392,Delivered,13:00:00,RD5
D356,O393,Delivered,13:55:00,RD85
D357,O394,Delivered,18:31:00,RD106
D358,O395,Delivered,15:45:00,RD152
D359,O397,Delivered,12:14:00,RD233
D360,O398,Delivered,20:42:00,RD33
D361,O399,Delivered,19:18:00,RD19
D362,O400,Delivered,20:26:00,RD23
D363,O401,Delivered,18:56:00,RD242
D364,O403,Delivered,20:53:00,RD4
D365,O404,Delivered,13:59:00,RD73
D366,O405,Delivered,16:33:00,RD69
D367,O406,Delivered,21:48:00,RD124
D368,O407,Delivered,21:36:00,RD64
D369,O408,Delivered,19:16:00,RD90
D370,O410,Delivered,12:25:00,RD226
D371,O411,Delivered,22:45:00,RD139
D372,O414,Delivered,22:13:00,RD117
D373,O415,Delivered,13:58:00,RD175
D374,O416,Delivered,21:41:00,RD143
D375,O417,Delivered,10:36:00,RD149
D376,O418,Delivered,20:19:00,RD226
D377,O419,Delivered,15:13:00,RD31
D378,O420,Delivered,17:03:00,RD37
D379,O421,Delivered,12:12:00,RD103
D380,O422,Delivered,11:37:00,RD80
D381,O423,Delivered,13:08:00,RD37
D382,O424,Delivered,10:44:00,RD212
D383,O425,Delivered,11:37:00,RD174
D384,O426,Delivered,16:37:00,RD92
D385,O427,Delivered,20:20:00,RD11
D386,O428,Delivered,17:23:00,RD149
D387,O429,Delivered,14:20:00,RD81
D388,O430,Delivered,13:03:00,RD176
D389,O431,Delivered,13:08:00,RD42
D390,O432,Delivered,11:55:00,RD17
D391,O433,Delivered,20:00:00,RD119
D392,O434,Delivered,11:14:00,RD86
D393,O435,Delivered,16:17:00,RD242
D394,O436,Delivered,13:04:00,RD28
D395,O437,Delivered,15:52:00,RD103
D396,O438,Delivered,21:21:00,RD60
D397,O439,Delivered,15:32:00,RD71
D398,O440,Delivered,14:22:00,RD74
D399,O441,Delivered,11:06:00,RD102
D400,O443,Delivered,13:15:00,RD249
D401,O444,Delivered,22:02:00,RD98
D402,O445,Delivered,17:59:00,RD65
D403,O448,Delivered,15:59:00,RD10
D404,O449,Delivered,17:18:00,RD248
D405,O450,Delivered,12:05:00,RD162
D406,O451,Delivered,20:24:00,RD40
D407,O452,Delivered,18:14:00,RD181
D408,O453,Delivered,11:17:00,RD38
D409,O455,Delivered,14:03:00,RD50
D410,O456,Delivered,22:08:00,RD78
D411,O457,Delivered,21:44:00,RD204
D412,O458,Delivered,13:36:00,RD20
D413,O459,Delivered,16:02:00,RD167
D414,O460,Delivered,20:45:00,RD91
D415,O461,Delivered,11:17:00,RD187
D416,O462,Delivered,11:25:00,RD80
D417,O463,Delivered,12:04:00,RD150
D418,O464,Delivered,15:51:00,RD250
D419,O466,Delivered,19:53:00,RD53
D420,O467,Delivered,21:34:00,RD149
D421,O468,Delivered,13:02:00,RD182
D422,O469,Delivered,16:29:00,RD247
D423,O471,Delivered,19:26:00,RD25
D424,O473,Delivered,15:24:00,RD7
D425,O474,Delivered,18:54:00,RD7
D426,O475,Delivered,22:24:00,RD196
D427,O477,Delivered,19:07:00,RD71
D428,O478,Delivered,18:16:00,RD156
D429,O480,Delivered,18:24:00,RD55
D430,O481,Delivered,21:17:00,RD108
D431,O482,Delivered,16:28:00,RD59
D432,O483,Delivered,13:59:00,RD62
D433,O484,Delivered,20:23:00,RD125
D434,O485,Delivered,14:27:00,RD225
D435,O487,Delivered,15:02:00,RD14
D436,O488,Delivered,21:36:00,RD66
D437,O490,Delivered,22:03:00,RD69
D438,O491,Delivered,13:22:00,RD150
D439,O492,Delivered,12:21:00,RD246
D440,O493,Delivered,22:42:00,RD90
D441,O494,Delivered,11:16:00,RD226
D442,O495,Delivered,21:54:00,RD187
D443,O496,Delivered,17:18:00,RD152
D444,O497,Delivered,14:56:00,RD4
D445,O498,Delivered,18:26:00,RD235
D446,O501,Delivered,22:29:00,RD160
D447,O502,Delivered,14:34:00,RD52
D448,O503,Delivered,21:00:00,RD52
D449,O504,Delivered,22:38:00,RD240
D450,O505,Delivered,11:24:00,RD189
D451,O506,Delivered,13:53:00,RD164
D452,O508,Delivered,14:01:00,RD7
D453,O510,Delivered,13:25:00,RD166
D454,O511,Delivered,20:31:00,RD95
D455,O512,Delivered,21:19:00,RD126
D456,O514,Delivered,16:56:00,RD47
D457,O515,Delivered,20:51:00,RD139
D458,O516,Delivered,19:58:00,RD81
D459,O517,Delivered,19:55:00,RD107
D460,O518,Delivered,11:14:00,RD95
D461,O520,Delivered,11:04:00,RD56
D462,O521,Delivered,20:15:00,RD184
D463,O522,Delivered,18:37:00,RD190
D464,O524,Delivered,21:12:00,RD216
D465,O525,Delivered,16:36:00,RD102
D466,O526,Delivered,11:52:00,RD49
D467,O527,Delivered,13:03:00,RD166
D468,O528,Delivered,21:26:00,RD1
D469,O529,Delivered,13:26:00,RD211
D470,O530,Delivered,20:11:00,RD149
D471,O531,Delivered,21:59:00,RD189
D472,O534,Delivered,15:17:00,RD209
D473,O535,Delivered,17:07:00,RD34
D474,O537,Delivered,11:20:00,RD5
D475,O538,Delivered,12:46:00,RD65
D476,O539,Delivered,22:16:00,RD222
D477,O540,Delivered,18:12:00,RD61
D478,O542,Delivered,21:50:00,RD1
D479,O543,Delivered,19:04:00,RD82
D480,O544,Delivered,11:00:00,RD183
D481,O545,Delivered,15:06:00,RD121
D482,O546,Delivered,14:04:00,RD213
D483,O547,Delivered,14:13:00,RD7
D484,O548,Delivered,14:11:00,RD210
D485,O549,Delivered,16:40:00,RD171
D486,O550,Delivered,22:46:00,RD178
D487,O551,Delivered,17:30:00,RD228
D488,O552,Delivered,14:02:00,RD199
D489,O553,Delivered,11:34:00,RD58
D490,O554,Delivered,15:52:00,RD5
D491,O555,Delivered,21:35:00,RD65
D492,O556,Delivered,17:13:00,RD103
D493,O557,Delivered,16:42:00,RD13
D494,O558,Delivered,17:39:00,RD46
D495,O559,Delivered,19:29:00,RD209
D496,O560,Delivered,16:03:00,RD53
D497,O561,Delivered,14:14:00,RD71
D498,O562,Delivered,11:39:00,RD242
D499,O563,Delivered,14:27:00,RD225
D500,O564,Delivered,16:15:00,RD218
D501,O565,Delivered,12:39:00,RD234
D502,O566,Delivered,13:39:00,RD225
D503,O567,Delivered,11:32:00,RD119
D504,O568,Delivered,16:24:00,RD67
D505,O570,Delivered,12:53:00,RD101
D506,O571,Delivered,10:46:00,RD224
D507,O572,Delivered,11:08:00,RD223
D508,O573,Delivered,12:58:00,RD52
D509,O574,Delivered,20:29:00,RD40
D510,O575,Delivered,19:11:00,RD178
D511,O577,Delivered,19:30:00,RD13
D512,O579,Delivered,16:47:00,RD224
D513,O580,Delivered,11:44:00,RD174
D514,O581,Delivered,19:39:00,RD160
D515,O583,Delivered,16:50:00,RD73
D516,O584,Delivered,22:18:00,RD187
D517,O585,Delivered,16:26:00,RD95
D518,O586,Delivered,18:01:00,RD45
D519,O587,Delivered,10:50:00,RD209
D520,O588,Delivered,11:02:00,RD150
D521,O589,Delivered,15:37:00,RD171
D522,O590,Delivered,13:13:00,RD183
D523,O591,Delivered,16:08:00,RD198
D524,O592,Delivered,15:56:00,RD71
D525,O593,Delivered,18:13:00,RD51
D526,O594,Delivered,22:30:00,RD183
D527,O595,Delivered,12:52:00,RD17
D528,O596,Delivered,13:09:00,RD11
D529,O597,Delivered,19:26:00,RD248
D530,O598,Delivered,19:55:00,RD88
D531,O599,Delivered,21:39:00,RD92
D532,O600,Delivered,12:27:00,RD203
D533,O601,Delivered,14:13:00,RD187
D534,O602,Delivered,21:39:00,RD247
D535,O603,Delivered,13:33:00,RD107
D536,O604,Delivered,16:27:00,RD89
D537,O605,Delivered,20:43:00,RD132
D538,O606,Delivered,10:45:00,RD53
D539,O607,Delivered,11:43:00,RD78
D540,O608,Delivered,19:37:00,RD135
D541,O609,Delivered,18:22:00,RD196
D542,O610,Delivered,16:32:00,RD236
D543,O611,Delivered,14:01:00,RD181
D544,O612,Delivered,20:42:00,RD86
D545,O613,Delivered,20:24:00,RD247
D546,O614,Delivered,16:51:00,RD161
D547,O615,Delivered,13:33:00,RD98
D548,O617,Delivered,20:45:00,RD152
D549,O618,Delivered,16:25:00,RD209
D550,O619,Delivered,14:56:00,RD198
D551,O620,Delivered,19:31:00,RD101
D552,O621,Delivered,12:30:00,RD250
D553,O622,Delivered,20:04:00,RD66
D554,O623,Delivered,17:23:00,RD196
D555,O624,Delivered,11:53:00,RD66
D556,O625,Delivered,20:24:00,RD126
D557,O626,Delivered,12:48:00,RD37
D558,O627,Delivered,20:47:00,RD218
D559,O628,Delivered,15:04:00,RD173
D560,O629,Delivered,18:42:00,RD140
D561,O630,Delivered,11:24:00,RD65
D562,O631,Delivered,12:29:00,RD72
D563,O632,Delivered,12:40:00,RD1
D564,O633,Delivered,19:24:00,RD139
D565,O634,Delivered,18:26:00,RD116
D566,O635,Delivered,16:51:00,RD243
D567,O636,Delivered,17:31:00,RD166
D568,O637,Delivered,18:20:00,RD91
D569,O638,Delivered,14:48:00,RD150
D570,O639,Delivered,13:41:00,RD239
D571,O640,Delivered,16:04:00,RD154
D572,O641,Delivered,17:46:00,RD46
D573,O642,Delivered,16:16:00,RD15
D574,O643,Delivered,22:09:00,RD113
D575,O644,Delivered,10:42:00,RD31
D576,O645,Delivered,17:53:00,RD165
D577,O646,Delivered,18:21:00,RD87
D578,O647,Delivered,14:00:00,RD208
D579,O648,Delivered,17:59:00,RD63
D580,O649,Delivered,15:13:00,RD14
D581,O650,Delivered,13:37:00,RD238
D582,O651,Delivered,20:56:00,RD119
D583,O652,Delivered,11:35:00,RD153
D584,O653,Delivered,20:29:00,RD249
D585,O654,Delivered,15:34:00,RD13
D586,O655,Delivered,17:59:00,RD135
D587,O656,Delivered,20:04:00,RD194
D588,O657,Delivered,21:43:00,RD35
D589,O658,Delivered,14:48:00,RD234
D590,O659,Delivered,15:03:00,RD106
D591,O660,Delivered,20:44:00,RD230
D592,O661,Delivered,11:26:00,RD139
D593,O663,Delivered,15:20:00,RD15
D594,O664,Delivered,20:18:00,RD181
D595,O665,Delivered,14:29:00,RD106
D596,O666,Delivered,20:52:00,RD44
D597,O667,Delivered,18:52:00,RD164
D598,O668,Delivered,15:08:00,RD100
D599,O669,Delivered,16:19:00,RD139
D600,O670,Delivered,14:52:00,RD138
D601,O671,Delivered,18:16:00,RD78
D602,O672,Delivered,20:12:00,RD133
D603,O673,Delivered,21:05:00,RD10
D604,O674,Delivered,12:43:00,RD76
D605,O675,Delivered,17:50:00,RD33
D606,O677,Delivered,18:04:00,RD59
D607,O678,Delivered,13:12:00,RD53
D608,O680,Delivered,18:43:00,RD151
D609,O681,Delivered,18:56:00,RD35
D610,O682,Delivered,14:02:00,RD226
D611,O683,Delivered,19:02:00,RD37
D612,O684,Delivered,14:55:00,RD73
D613,O686,Delivered,13:33:00,RD25
D614,O687,Delivered,12:55:00,RD145
D615,O688,Delivered,16:29:00,RD154
D616,O689,Delivered,19:26:00,RD108
D617,O690,Delivered,21:33:00,RD170
D618,O691,Delivered,17:49:00,RD36
D619,O692,Delivered,13:02:00,RD43
D620,O693,Delivered,21:07:00,RD238
D621,O694,Delivered,17:42:00,RD153
D622,O695,Delivered,14:52:00,RD20
D623,O696,Delivered,15:42:00,RD210
D624,O697,Delivered,14:46:00,RD165
D625,O698,Delivered,22:35:00,RD181
D626,O699,Delivered,20:39:00,RD161
D627,O700,Delivered,12:17:00,RD196
D628,O701,Delivered,15:08:00,RD55
D629,O702,Delivered,10:46:00,RD12
D630,O703,Delivered,20:42:00,RD175
D631,O704,Delivered,10:27:00,RD224
D632,O705,Delivered,16:40:00,RD74
D633,O707,Delivered,17:56:00,RD42
D634,O708,Delivered,21:37:00,RD126
D635,O709,Delivered,11:23:00,RD226
D636,O710,Delivered,18:24:00,RD6
D637,O711,Delivered,17:19:00,RD151
D638,O712,Delivered,22:22:00,RD5
D639,O713,Delivered,16:48:00,RD225
D640,O714,Delivered,11:29:00,RD36
D641,O715,Delivered,19:43:00,RD26
D642,O717,Delivered,16:19:00,RD149
D643,O719,Delivered,18:15:00,RD117
D644,O720,Delivered,15:54:00,RD206
D645,O722,Delivered,18:11:00,RD204
D646,O723,Delivered,17:50:00,RD86
D647,O724,Delivered,11:46:00,RD159
D648,O725,Delivered,12:34:00,RD5
D649,O726,Delivered,19:03:00,RD64
D650,O727,Delivered,16:13:00,RD219
D651,O728,Delivered,20:04:00,RD177
D652,O729,Delivered,17:30:00,RD67
D653,O730,Delivered,15:52:00,RD170
D654,O731,Delivered,11:40:00,RD195
D655,O732,Delivered,22:20:00,RD42
D656,O733,Delivered,13:41:00,RD117
D657,O734,Delivered,14:34:00,RD182
D658,O735,Delivered,21:16:00,RD176
D659,O736,Delivered,20:03:00,RD103
D660,O737,Delivered,11:12:00,RD121
D661,O738,Delivered,13:30:00,RD145
D662,O739,Delivered,12:03:00,RD181
D663,O740,Delivered,17:10:00,RD32
D664,O741,Delivered,15:39:00,RD147
